index,cercania_subtes,cercania_av,cercania_tren,cercania_bus,cercania_hospi,cercania_est_edu,cercania_univ,cercania_comisarias,cercania_verde,cant_deptos,cant_subte,cant_hospi,cant_univ,cant_edu,cant_banco,cant_gastro,cant_cult,cant_delito
Agronomia,0.018819123573525578,0.0012207952998150912,0.004176409592066254,0.005185613993026043,0.014604610184703421,0.001732259175249046,0.009728858045144374,0.007406540724490445,0.003232383629895309,18.48148148148148,0.0,0.0,0.037037037037037035,6.444444444444445,0.8148148148148148,0.0,0.7407407407407407,99.07407407407408
Almagro,0.003957829069123404,0.0007968031799383935,0.016219235050872773,0.019780681894535728,0.007942324152192945,0.0010463141488813255,0.0033163061877069127,0.009096587290678197,0.0028096700261081614,156.76388888888889,0.5181623931623932,0.0641025641025641,1.2478632478632479,16.371794871794872,3.21474358974359,0.5160256410256411,12.264957264957266,298.3814102564103
Balvanera,0.002254776898816968,0.0009225619300552971,0.007991990045203198,0.018433464680800104,0.010590316176679736,0.0009943418011417067,0.002726627184726175,0.0050942727431963625,0.003456873880443029,132.05419222903885,1.467280163599182,0.0408997955010225,2.4723926380368098,18.121676891615543,5.489775051124744,0.4652351738241309,22.485685071574643,505.36912065439674
Barracas,0.013018681984537738,0.0008644664730881859,0.007427525960103766,0.013254010802375465,0.005572494752709457,0.001695308638777786,0.0054302850123014315,0.006573865280561465,0.0022770762253527966,50.60747663551402,0.009345794392523364,0.48598130841121495,0.6074766355140186,9.355140186915888,2.925233644859813,0.10747663551401869,3.5514018691588785,171.34112149532712
Belgrano,0.0051896477054271155,0.0010214717114818983,0.006699573704906944,0.0045349964130915014,0.011519954061576082,0.0017650933822700666,0.009284249842018227,0.0049652695659523445,0.0020839113844791654,330.02983932670236,0.5057383320581484,0.061208875286916604,0.14307574598316755,11.278500382555471,7.454475899005356,0.0703902065799541,14.786534047436879,310.38791124713083
Boca,0.018483941763344294,0.0011139251811337386,0.015265671587074611,0.016395197508922682,0.005233806602139373,0.0018154095890109533,0.009799123873608727,0.004049076983574021,0.0014495370667656628,67.40880503144655,0.0,0.16352201257861634,0.1509433962264151,10.459119496855346,1.949685534591195,0.0880503144654088,6.477987421383648,203.33962264150944
Boedo,0.0055848504202993315,0.0007689913152449203,0.019120101216242386,0.009718006853509337,0.011897160947302657,0.0020031473850253595,0.011136077985367861,0.006285555702562001,0.003529875520038135,184.46439628482972,0.14241486068111456,0.0,0.009287925696594427,9.727554179566564,1.6222910216718267,0.29411764705882354,3.8575851393188856,203.6625386996904
Caballito,0.005499381765161292,0.00110821953336504,0.008096538283027626,0.017535213260879003,0.008426383179205896,0.0012740801131203162,0.0056410232495952796,0.007503950773073474,0.002571070379843506,245.25153751537516,0.5670356703567035,0.3234932349323493,0.2699876998769988,10.59840098400984,3.90159901599016,0.3376383763837638,5.6562115621156215,238.60270602706026
Chacarita,0.004573132655073688,0.0004424489704646158,0.0048714639886597525,0.011102105266720714,0.019304021013307728,0.0013539786986536569,0.009760958263451426,0.006763799314587168,0.0015514587175451604,81.1697247706422,0.48623853211009177,0.0,0.03211009174311927,10.371559633027523,2.9908256880733943,0.44495412844036697,10.022935779816514,204.82110091743118
Coghlan,0.01344971930856051,0.0009251515352493114,0.005843413055482266,0.012707276219359813,0.006711789364527989,0.0020416496535124416,0.00890723799888398,0.008858362511765368,0.0020735629951477838,103.0609756097561,0.0,0.18902439024390244,0.042682926829268296,5.9573170731707314,0.38414634146341464,0.1524390243902439,1.1280487804878048,110.51829268292683
